Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
LOCKHEED MARTIN CORP,LMT,539830109,2522096,0.278666,-,2580736.000,USD
AMERICAN EXPRESS CO,AXP,025816109,2026082,0.277361,-,6806708.000,USD
BOOKING HOLDINGS INC,BKNG,09857L108,BDRXDB4,0.275645,-,422910.000,USD
STRYKER CORP,SYK,863667101,2853688,0.268674,-,3856820.000,USD
ANALOG DEVICES INC,ADI,032654105,2032067,0.264771,-,5797098.000,USD
TJX COMPANIES INC,TJX,872540109,2989301,0.263280,-,13212587.000,USD
ELEVANCE HEALTH INC,ELV,036752103,BSPHGL4,0.262744,-,2714321.000,USD
MONDELEZ INTERNATIONAL INC A,MDLZ,609207105,B8CKK03,0.260278,-,15595671.000,USD
GILEAD SCIENCES INC,GILD,375558103,2369174,0.254640,-,14263037.000,USD
AUTOMATIC DATA PROCESSING,ADP,053015103,2065308,0.249203,-,4738641.000,USD
MARSH + MCLENNAN COS,MMC,571748102,2567741,0.247084,-,5663440.000,USD
CITIGROUP INC,C,172967424,2297907,0.246879,-,22292188.000,USD
AMERICAN TOWER CORP,AMT,03027X100,B7FBFL2,0.242902,-,5317449.000,USD
CVS HEALTH CORP,CVS,126650100,2577609,0.241916,-,14686731.000,USD
VERTEX PHARMACEUTICALS INC,VRTX,92532F100,2931034,0.237880,-,2940835.000,USD
SCHWAB (CHARLES) CORP,SCHW,808513105,2779397,0.232328,-,17016864.000,USD
LAM RESEARCH CORP,LRCX,512807108,2502247,0.224538,-,1542926.000,USD
ALTRIA GROUP INC,MO,02209S103,2692632,0.218070,-,20419254.000,USD
T MOBILE US INC,TMUS,872590104,B94Q9V0,0.217200,-,6595437.000,USD
SCHLUMBERGER LTD,SLB,806857108,2779201,0.215227,-,16245424.000,USD
EATON CORP PLC,ETN,G29183103,B8KQN82,0.214714,-,4549299.000,USD
ZOETIS INC,ZTS,98978V103,B95WG16,0.213761,-,5321297.000,USD
THE CIGNA GROUP,CI,125523100,BHJ0775,0.212767,-,3387801.000,USD
PAYPAL HOLDINGS INC,PYPL,70450Y103,BYW36M8,0.210802,-,12776058.000,USD
CHUBB LTD,CB,H1467J104,B3BQMF6,0.210782,-,4739192.000,USD
FISERV INC,FI,337738108,2342034,0.210778,-,7068728.000,USD
SOUTHERN CO/THE,SO,842587107,2829601,0.208041,-,12432555.000,USD
REGENERON PHARMACEUTICALS,REGN,75886F107,2730190,0.206463,-,1229496.000,USD
PROGRESSIVE CORP,PGR,743315103,2705024,0.206324,-,6681581.000,USD
BOSTON SCIENTIFIC CORP,BSX,101137107,2113434,0.201871,-,16463012.000,USD
EQUINIX INC,EQIX,29444U700,BVLZX12,0.197995,-,1071043.000,USD
BECTON DICKINSON AND CO,BDX,075887109,2087807,0.196177,-,3244764.000,USD
EOG RESOURCES INC,EOG,26875P101,2318024,0.190795,-,6706641.000,USD
DUKE ENERGY CORP,DUK,26441C204,B7VD3F2,0.189871,-,8795058.000,USD
PALO ALTO NETWORKS INC,PANW,697435105,B87ZMX0,0.188425,-,3465125.000,USD
ILLINOIS TOOL WORKS,ITW,452308109,2457552,0.186508,-,3174184.000,USD
MICRON TECHNOLOGY INC,MU,595112103,2588184,0.186109,-,12481883.000,USD
AON PLC CLASS A,AON,G0403H108,BLP1HW5,0.184345,-,2348427.000,USD
CSX CORP,CSX,126408103,2160753,0.182460,-,23280794.000,USD
SYNOPSYS INC,SNPS,871607107,2867719,0.179854,-,1743420.000,USD
NORTHROP GRUMMAN CORP,NOC,666807102,2648806,0.174304,-,1644891.000,USD
AIR PRODUCTS + CHEMICALS INC,APD,009158106,2011602,0.174211,-,2532934.000,USD
CME GROUP INC,CME,12572Q105,2965839,0.174110,-,4108347.000,USD
KLA CORP,KLAC,482480100,2480138,0.172489,-,1583338.000,USD
INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,BFSSDS9,0.172396,-,6392359.000,USD
ACTIVISION BLIZZARD INC,ATVI,00507V109,2575818,0.171387,-,8147026.000,USD
CADENCE DESIGN SYS INC,CDNS,127387108,2302232,0.170659,-,3137055.000,USD
WASTE MANAGEMENT INC,WM,94106L109,2937667,0.167911,-,4246141.000,USD
COLGATE PALMOLIVE CO,CL,194162103,2209106,0.167796,-,9551219.000,USD
SHERWIN WILLIAMS CO/THE,SHW,824348106,2804211,0.165903,-,2696591.000,USD
TARGET CORP,TGT,87612E106,2259101,0.163293,-,5256232.000,USD
HCA HEALTHCARE INC,HCA,40412C101,B4MGBG6,0.163036,-,2362500.000,USD
FEDEX CORP,FDX,31428X106,2142784,0.162382,-,2655513.000,USD
FORD MOTOR CO,F,345370860,2615468,0.159852,-,44933331.000,USD
O REILLY AUTOMOTIVE INC,ORLY,67103H107,B65LWX6,0.157886,-,696916.000,USD
FREEPORT MCMORAN INC,FCX,35671D857,2352118,0.155041,-,16349511.000,USD
CHIPOTLE MEXICAN GRILL INC,CMG,169656105,B0X7DZ3,0.153078,-,315464.000,USD
EDWARDS LIFESCIENCES CORP,EW,28176E108,2567116,0.151068,-,6942062.000,USD
GENERAL MOTORS CO,GM,37045V100,B665KZ5,0.150654,-,15949811.000,USD
3M CO W/D,MMM,88579Y101,2595708,0.149844,-,6311571.000,USD
MCKESSON CORP,MCK,58155Q103,2378534,0.149630,-,1566045.000,USD
NXP SEMICONDUCTORS NV,NXPI,N6596X109,B505PN7,0.146540,-,2959177.000,USD
MOODY S CORP,MCO,615369105,2252058,0.145727,-,1795613.000,USD
HUMANA INC,HUM,444859102,2445063,0.142036,-,1429523.000,USD
EMERSON ELECTRIC CO,EMR,291011104,2313405,0.140715,-,6535099.000,USD
NORFOLK SOUTHERN CORP,NSC,655844108,2641894,0.140665,-,2605518.000,USD
DEXCOM INC,DXCM,252131107,B0796X4,0.137827,-,4411276.000,USD
PNC FINANCIAL SERVICES GROUP,PNC,693475105,2692665,0.136919,-,4604030.000,USD
MARATHON PETROLEUM CORP,MPC,56585A102,B3K3L40,0.136230,-,4858470.000,USD
PARKER HANNIFIN CORP,PH,701094104,2671501,0.136185,-,1467253.000,USD
AMPHENOL CORP CL A,APH,032095101,2145084,0.135914,-,6796057.000,USD
ROPER TECHNOLOGIES INC,ROP,776696106,2749602,0.135150,-,1211580.000,USD
PIONEER NATURAL RESOURCES CO,PXD,723787107,2690830,0.135072,-,2676307.000,USD
CROWN CASTLE INC,CCI,22822V101,BTGQCX1,0.134594,-,4945262.000,USD
MICROCHIP TECHNOLOGY INC,MCHP,595017104,2592174,0.132863,-,6266318.000,USD
FORTINET INC,FTNT,34959E109,B5B2106,0.132800,-,7405469.000,USD
MOTOROLA SOLUTIONS INC,MSI,620076307,B5BKPQ4,0.131828,-,1912741.000,USD
MARRIOTT INTERNATIONAL  CL A,MAR,571903202,2210614,0.131141,-,2952746.000,USD
GENERAL DYNAMICS CORP,GD,369550108,2365161,0.130913,-,2573752.000,USD
US BANCORP,USB,902973304,2736035,0.130779,-,15935767.000,USD
AUTOZONE INC,AZO,053332102,2065955,0.126758,-,210734.000,USD
JOHNSON CONTROLS INTERNATION,JCI,G51502105,BY7QL61,0.126034,-,7837279.000,USD
PHILLIPS 66,PSX,718546104,B78C4Y8,0.125229,-,5254601.000,USD
PUBLIC STORAGE,PSA,74460D109,2852533,0.125195,-,1807793.000,USD
SEMPRA ENERGY,SRE,816851109,2138158,0.124807,-,3590071.000,USD
AUTODESK INC,ADSK,052769106,2065159,0.124288,-,2469492.000,USD
ECOLAB INC,ECL,278865100,2304227,0.123750,-,2834506.000,USD
ARTHUR J GALLAGHER + CO,AJG,363576109,2359506,0.123209,-,2452969.000,USD
TRANSDIGM GROUP INC,TDG,893641100,B11FJK3,0.123149,-,593292.000,USD
KIMBERLY CLARK CORP,KMB,494368103,2491839,0.121500,-,3860135.000,USD
TE CONNECTIVITY LTD,TEL,H84989104,B62B7C3,0.121345,-,3638518.000,USD
PACCAR INC,PCAR,693718108,2665861,0.120090,-,5958147.500,USD
AMERICAN ELECTRIC POWER,AEP,025537101,2026242,0.119661,-,5868150.000,USD
TRANE TECHNOLOGIES PLC,TT,G8994E103,BK9ZQ96,0.119491,-,2628596.000,USD
OCCIDENTAL PETROLEUM CORP,OXY,674599105,2655408,0.118972,-,8300548.000,USD
CARRIER GLOBAL CORP,CARR,14448C104,BK4N0D7,0.118911,-,9576939.000,USD
ESTEE LAUDER COMPANIES CL A,EL,518439104,2320524,0.118314,-,2649715.000,USD
GENERAL MILLS INC,GIS,370334104,2367026,0.118103,-,6741465.000,USD
DOMINION ENERGY INC,D,25746U109,2542049,0.117392,-,9531788.000,USD
TRUIST FINANCIAL CORP,TFC,89832Q109,BKP7287,0.116953,-,15152988.000,USD
IDEXX LABORATORIES INC,IDXX,45168D104,2459202,0.116478,-,947951.000,USD
ARCHER DANIELS MIDLAND CO,ADM,039483102,2047317,0.115410,-,6271470.000,USD
CAPITAL ONE FINANCIAL CORP,COF,14040H105,2654461,0.115114,-,4368301.000,USD
NUCOR CORP,NUE,670346105,2651086,0.114747,-,2893347.000,USD
MONSTER BEVERAGE CORP,MNST,61174X109,BZ07BW4,0.114294,-,8699070.000,USD
CINTAS CORP,CTAS,172908105,2197137,0.113873,-,988081.000,USD
ON SEMICONDUCTOR,ON,682189105,2583576,0.113652,-,4929846.000,USD
AMERICAN INTERNATIONAL GROUP,AIG,026874784,2027342,0.113618,-,8287880.000,USD
EXELON CORP,EXC,30161N101,2670519,0.111717,-,11366261.000,USD
VALERO ENERGY CORP,VLO,91913Y100,2041364,0.111321,-,4139934.000,USD
MODERNA INC,MRNA,60770K107,BGSXTS3,0.111018,-,3771917.000,USD
WILLIAMS COS INC,WMB,969457100,2967181,0.110573,-,13868587.000,USD
REALTY INCOME CORP,O,756109104,2724193,0.108678,-,7709350.000,USD
CONSTELLATION BRANDS INC A,STZ,21036P108,2170473,0.108656,-,1852758.000,USD
IQVIA HOLDINGS INC,IQV,46266C105,BDR73G1,0.108613,-,2121697.000,USD
ARISTA NETWORKS INC,ANET,040413106,BN33VM5,0.108563,-,2831377.000,USD
CHARTER COMMUNICATIONS INC A,CHTR,16119P108,BZ6VT82,0.107738,-,1204345.000,USD
HILTON WORLDWIDE HOLDINGS IN,HLT,43300A203,BYVMW06,0.107572,-,3047183.000,USD
BIOGEN INC,BIIB,09062X103,2455965,0.107026,-,1649313.000,USD
SIMON PROPERTY GROUP INC,SPG,828806109,2812452,0.107026,-,3739628.000,USD
MSCI INC,MSCI,55354G100,B2972D2,0.106292,-,913596.000,USD
WELLTOWER INC,WELL,95040Q104,BYVYHH4,0.106009,-,5691212.000,USD
TRAVELERS COS INC/THE,TRV,89417E109,2769503,0.105735,-,2643521.000,USD
HESS CORP,HES,42809H107,2023748,0.104473,-,3173307.000,USD
ROCKWELL AUTOMATION INC,ROK,773903109,2754060,0.103811,-,1307993.000,USD
COPART INC,CPRT,217204106,2208073,0.103709,-,4894031.000,USD
AFLAC INC,AFL,001055102,2026361,0.103387,-,6296290.000,USD
DR HORTON INC,DHI,23331A109,2250687,0.103316,-,3572948.000,USD
CORTEVA INC,CTVA,22052L104,BK73B42,0.103160,-,8168452.000,USD
ROSS STORES INC,ROST,778296103,2746711,0.102630,-,3937180.000,USD
DOW INC,DOW,260557103,BHXCF84,0.101659,-,8037688.000,USD
YUM  BRANDS INC,YUM,988498101,2098876,0.101541,-,3215519.000,USD
PAYCHEX INC,PAYX,704326107,2674458,0.101506,-,3662834.000,USD
METLIFE INC,MET,59156R108,2573209,0.101073,-,7366473.000,USD
SYSCO CORP,SYY,871829107,2868165,0.100045,-,5797327.000,USD
L3HARRIS TECHNOLOGIES INC,LHX,502431109,BK9DTN5,0.099628,-,2175320.000,USD
OTIS WORLDWIDE CORP,OTIS,68902V107,BK531S8,0.099004,-,4774703.000,USD
DOLLAR GENERAL CORP,DG,256677105,B5B1S13,0.098890,-,2509190.000,USD
CUMMINS INC,CMI,231021106,2240202,0.097082,-,1615914.000,USD
AMETEK INC,AME,031100100,2089212,0.096710,-,2626812.000,USD
COSTAR GROUP INC,CSGP,22160N109,2262864,0.096137,-,4645320.000,USD
NEWMONT CORP,NEM,651639106,2636607,0.095941,-,9078937.000,USD
AMERIPRISE FINANCIAL INC,AMP,03076C106,B0J7D57,0.095092,-,1203383.000,USD
PPG INDUSTRIES INC,PPG,693506107,2698470,0.094832,-,2674984.000,USD
AGILENT TECHNOLOGIES INC,A,00846U101,2520153,0.094807,-,3380035.000,USD
ELECTRONIC ARTS INC,EA,285512109,2310194,0.094326,-,2978862.000,USD
CENTENE CORP,CNC,15135B101,2807061,0.093927,-,6298424.000,USD
HERSHEY CO/THE,HSY,427866108,2422806,0.093849,-,1681355.000,USD
FIDELITY NATIONAL INFO SERV,FIS,31620M106,2769796,0.093825,-,6775902.000,USD
WW GRAINGER INC,GWW,384802104,2380863,0.093637,-,515373.000,USD
XCEL ENERGY INC,XEL,98389B100,2614807,0.093190,-,6250009.000,USD
KINDER MORGAN INC,KMI,49456B101,B3NQ4P8,0.092495,-,22560823.000,USD
BAKER HUGHES CO,BKR,05722G100,BDHLTQ5,0.092093,-,11439989.000,USD
HALLIBURTON CO,HAL,406216101,2405302,0.091895,-,10367815.000,USD
DIGITAL REALTY TRUST INC,DLR,253868103,B03GQS4,0.091826,-,3336345.000,USD
COGNIZANT TECH SOLUTIONS A,CTSH,192446102,2257019,0.091382,-,5820356.000,USD
OLD DOMINION FREIGHT LINE,ODFL,679580100,2656423,0.090865,-,1034544.000,USD
PRUDENTIAL FINANCIAL INC,PRU,744320102,2819118,0.090259,-,4201391.000,USD
FASTENAL CO,FAST,311900104,2332262,0.089633,-,6529349.000,USD
DUPONT DE NEMOURS INC,DD,26614N102,BK0VN47,0.088964,-,5240359.000,USD
DEVON ENERGY CORP,DVN,25179M103,2480677,0.088944,-,7448067.000,USD
BANK OF NEW YORK MELLON CORP,BK,064058100,B1Z77F6,0.088402,-,8363683.000,USD
VERISK ANALYTICS INC,VRSK,92345Y106,B4P9W92,0.087773,-,1657813.000,USD
LENNAR CORP A,LEN,526057104,2511920,0.086984,-,2900973.000,USD
UNITED RENTALS INC,URI,911363109,2134781,0.086378,-,791032.000,USD
CONSOLIDATED EDISON INC,ED,209115104,2216850,0.086348,-,3968403.000,USD
VICI PROPERTIES INC,VICI,925652109,BYWH073,0.085627,-,11480144.000,USD
GE HEALTHCARE TECHNOLOGY,GEHC,36266G107,BL6JPG8,0.085417,-,4473414.000,USD
PUBLIC SERVICE ENTERPRISE GP,PEG,744573106,2707677,0.084870,-,5699171.000,USD
RESMED INC,RMD,761152107,2732903,0.084856,-,1673891.000,USD
CONSTELLATION ENERGY,CEG,21037T109,BMH4FS1,0.083828,-,3733433.000,USD
AMERISOURCEBERGEN CORP,ABC,03073E105,2795393,0.082499,-,1849834.000,USD
KROGER CO,KR,501044101,2497406,0.082360,-,7441531.000,USD
DELTA AIR LINES INC,DAL,247361702,B1W9D46,0.082206,-,7334647.000,USD
DOLLAR TREE INC,DLTR,256746108,2272476,0.082071,-,2377737.000,USD
REPUBLIC SERVICES INC,RSG,760759100,2262530,0.081529,-,2338117.000,USD
APTIV PLC,APTV,G6095L109,B783TY6,0.081287,-,3093994.000,USD
DISCOVER FINANCIAL SERVICES,DFS,254709108,B1YLC43,0.080960,-,2907688.000,USD
ILLUMINA INC,ILMN,452327109,2613990,0.080599,-,1796414.000,USD
KEYSIGHT TECHNOLOGIES IN,KEYS,49338L103,BQZJ0Q9,0.080478,-,2047352.000,USD
ZIMMER BIOMET HOLDINGS INC,ZBH,98956P102,2783815,0.079882,-,2395748.000,USD
ANSYS INC,ANSS,03662Q105,2045623,0.078451,-,996387.000,USD
METTLER TOLEDO INTERNATIONAL,MTD,592688105,2126249,0.078398,-,254155.000,USD
VULCAN MATERIALS CO,VMC,929160109,2931205,0.078144,-,1517696.000,USD
P G + E CORP,PCG,69331C108,2689560,0.078142,-,18388813.000,USD
WARNER BROS DISCOVERY INC,WBD,934423104,BM8JYX3,0.077755,-,25277603.000,USD
ONEOK INC,OKE,682680103,2130109,0.076802,-,5104500.000,USD
GLOBAL PAYMENTS INC,GPN,37940X102,2712013,0.076568,-,3008575.000,USD
WEC ENERGY GROUP INC,WEC,92939U106,BYY8XK8,0.076459,-,3602127.000,USD
ALLSTATE CORP,ALL,020002101,2019952,0.076143,-,3027504.000,USD
ALBEMARLE CORP,ALB,012653101,2046853,0.076126,-,1337846.000,USD
HP INC,HPQ,40434L105,BYX4D52,0.076027,-,9886392.000,USD
WEST PHARMACEUTICAL SERVICES,WST,955306105,2950482,0.075893,-,846602.000,USD
QUANTA SERVICES INC,PWR,74762E102,2150204,0.075857,-,1635507.000,USD
KRAFT HEINZ CO/THE,KHC,500754106,BYRY499,0.075776,-,9065627.000,USD
EQUIFAX INC,EFX,294429105,2319146,0.075753,-,1398208.000,USD
ARCH CAPITAL GROUP LTD,ACGL,G0450A105,2740542,0.075427,-,4224838.000,USD
GARTNER INC,IT,366651107,2372763,0.075392,-,900257.000,USD
AMERICAN WATER WORKS CO INC,AWK,030420103,B2R3PV1,0.075051,-,2207681.000,USD
MARTIN MARIETTA MATERIALS,MLM,573284106,2572079,0.073903,-,710135.000,USD
CBRE GROUP INC   A,CBRE,12504L109,B6WVMH3,0.072845,-,3605803.000,USD
AVALONBAY COMMUNITIES INC,AVB,053484101,2131179,0.072616,-,1598673.000,USD
CORNING INC,GLW,219350105,2224701,0.072377,-,8707669.000,USD
EDISON INTERNATIONAL,EIX,281020107,2829515,0.071826,-,4361166.000,USD
INGERSOLL RAND INC,IR,45687V106,BL5GZ82,0.071562,-,4631083.000,USD
XYLEM INC,XYL,98419M100,B3P2CN8,0.071082,-,2724471.000,USD
FORTIVE CORP,FTV,34959J108,BYT3MK1,0.070853,-,4038980.000,USD
KEURIG DR PEPPER INC,KDP,49271V100,BD3W133,0.070651,-,9666125.000,USD
SBA COMMUNICATIONS CORP,SBAC,78410G104,BZ6TS23,0.070235,-,1235124.000,USD
T ROWE PRICE GROUP INC,TROW,74144T108,2702337,0.069869,-,2566248.000,USD
ALIGN TECHNOLOGY INC,ALGN,016255101,2679204,0.069163,-,827446.000,USD
DIAMONDBACK ENERGY INC,FANG,25278X109,B7Y8YR3,0.068505,-,2100798.000,USD
STATE STREET CORP,STT,857477103,2842040,0.067848,-,3827392.000,USD
CDW CORP/DE,CDW,12514G108,BBM5MD6,0.067506,-,1548232.000,USD
EVERSOURCE ENERGY,ES,30040W108,BVVN4Q8,0.067435,-,3983721.000,USD
WEYERHAEUSER CO,WY,962166104,2958936,0.067291,-,8447405.000,USD
EBAY INC,EBAY,278642103,2293819,0.067192,-,6194021.000,USD
MONOLITHIC POWER SYSTEMS INC,MPWR,609839105,B01Z7J1,0.067162,-,512148.000,USD
ENPHASE ENERGY INC,ENPH,29355A107,B65SQW4,0.066450,-,1555185.000,USD
WILLIS TOWERS WATSON PLC,WTW,G96629103,BDB6Q21,0.066122,-,1220650.000,USD
ULTA BEAUTY INC,ULTA,90384S303,B28TS42,0.066098,-,584212.000,USD
TRACTOR SUPPLY COMPANY,TSCO,892356106,2900335,0.065154,-,1262551.000,USD
CARDINAL HEALTH INC,CAH,14149Y108,2175672,0.064413,-,2945111.000,USD
CHURCH + DWIGHT CO INC,CHD,171340102,2195841,0.064062,-,2789528.000,USD
GENUINE PARTS CO,GPC,372460105,2367480,0.064056,-,1614400.000,USD
TAKE TWO INTERACTIVE SOFTWRE,TTWO,874054109,2122117,0.063553,-,1813607.000,USD
LYONDELLBASELL INDU CL A,LYB,N53745100,B3SPXZ3,0.063014,-,2895673.000,USD
BAXTER INTERNATIONAL INC,BAX,071813109,2085102,0.062585,-,5773025.000,USD
DTE ENERGY COMPANY,DTE,233331107,2280220,0.062234,-,2360175.000,USD
HARTFORD FINANCIAL SVCS GRP,HIG,416515104,2476193,0.061583,-,3629036.000,USD
EQUITY RESIDENTIAL,EQR,29476L107,2319157,0.061388,-,3895482.000,USD
SOUTHWEST AIRLINES CO,LUV,844741108,2831543,0.061108,-,6781712.000,USD
STERIS PLC,STE,G8473T100,BFY8C75,0.060031,-,1132885.000,USD
M + T BANK CORP,MTB,55261F104,2340168,0.059476,-,1935150.000,USD
HEWLETT PACKARD ENTERPRISE,HPE,42824C109,BYVYWS0,0.058804,-,14729335.000,USD
AMEREN CORPORATION,AEE,023608102,2050832,0.058392,-,2953959.000,USD
WALGREENS BOOTS ALLIANCE INC,WBA,931427108,BTN1Y44,0.058087,-,8196189.000,USD
ROYAL CARIBBEAN CRUISES LTD,RCL,V7780T103,2754907,0.057866,-,2492862.000,USD
FIRSTENERGY CORP,FE,337932107,2100920,0.056983,-,6179647.000,USD
MCCORMICK + CO NON VTG SHRS,MKC,579780206,2550161,0.056833,-,2862233.000,USD
DOVER CORP,DOV,260003108,2278407,0.056412,-,1601812.000,USD
ENTERGY CORP,ETR,29364G103,2317087,0.055648,-,2421197.000,USD
INTL FLAVORS + FRAGRANCES,IFF,459506101,2464165,0.055553,-,2911513.000,USD
FAIR ISAAC CORP,FICO,303250104,2330299,0.054537,-,287705.000,USD
INVITATION HOMES INC,INVH,46187W107,BD81GW9,0.054446,-,6598655.000,USD
EXTRA SPACE STORAGE INC,EXR,30225T102,B02HWR9,0.054406,-,1532547.000,USD
DARDEN RESTAURANTS INC,DRI,237194105,2289874,0.054380,-,1394272.000,USD
WABTEC CORP,WAB,929740108,2955733,0.054371,-,2069313.000,USD
